trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-161.49798709167447,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-36.43417264408941,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-95.56925775910732,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-70.59451838450784,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-152.71332657060807,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,8,-115.25858242666398,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-24.0485185515185,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,1,-73.50918909285562,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-114.89480440664924,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-135.8096084583011,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-41.49649905602467,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-114.19946673427822,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-157.56171955218076,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-114.14165398498281,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,7,-14.708751956644676,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,13,-67.896442871352,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-14.681157522078063,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-64.8830871605003,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-85.66456123728359,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,18,10.327472865888254,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-6.3374167647213735,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,4,-86.46133264974371,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",30,0,-76.01427269092675,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-23.238444043163376,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-274.0462487249818,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 5}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-39.77540207203486,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-116.34508473235334,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-128.11809598050172,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,0,-14.560411035066341,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-47.97413776192464,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,17,2.8092497351933288,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-13.937054464081502,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-31.097075126497412,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,9,-53.50365468727244,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,14,3.770435964969769,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.697676326071031}",30,19,-4.020543689312723,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-72.81639302427958,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-109.65071752979274,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
