trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,13,-109.27774430935504,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-167.58745878463031,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-207.95515971752795,"{0: 7, 1: 1, 2: 7, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,17,-13.900286146176338,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-51.94775843434534,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-188.0382766588481,"{0: 10, 1: 5, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-189.97443130373833,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-160.74738894255697,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-141.6427844416409,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-103.02922006402983,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-155.90931862498184,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-130.37602778480945,"{0: 14, 1: 2, 2: 4, 3: 5, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-102.34088473958228,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-219.9827401087318,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-210.3145260689463,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-76.32074789406616,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-123.47590613442412,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-150.94355019871807,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,9,-49.715754117998706,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-161.90583845565,"{0: 6, 1: 2, 2: 6, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",35,0,-159.9508193140736,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-158.34414876640417,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-124.27903371689605,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-27.725793854367932,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-170.55766927912245,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-156.7601958238249,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,0,-94.17895748037898,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-131.87085620727586,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-119.14374927132893,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-56.645769131696646,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
